date,state,daily
2011-02-06,Malaysia,7.0
2011-02-07,Malaysia,95.0
2011-02-08,Malaysia,215.0
2011-02-09,Malaysia,165.0
2011-02-10,Malaysia,167.0
2011-02-11,Malaysia,105.0
2011-02-12,Malaysia,4.0
2011-02-13,Malaysia,38.0
2011-02-14,Malaysia,119.0
2011-02-15,Malaysia,25.0
2011-02-16,Malaysia,124.0
2011-02-17,Malaysia,105.0
2011-02-18,Malaysia,104.0
2011-02-19,Malaysia,10.0
2011-02-20,Malaysia,101.0
2011-02-21,Malaysia,69.0
2011-02-22,Malaysia,109.0
2011-02-23,Malaysia,201.0
2011-02-24,Malaysia,207.0
2011-02-25,Malaysia,203.0
2011-02-26,Malaysia,7.0
2011-02-27,Malaysia,21.0
2011-02-28,Malaysia,129.0
2011-03-01,Malaysia,183.0
2011-03-02,Malaysia,277.0
2011-03-03,Malaysia,260.0
2011-03-04,Malaysia,56.0
2011-03-05,Malaysia,130.0
2011-03-06,Malaysia,57.0
2011-03-07,Malaysia,183.0
2011-03-08,Malaysia,199.0
2011-03-09,Malaysia,333.0
2011-03-10,Malaysia,237.0
2011-03-11,Malaysia,191.0
2011-03-12,Malaysia,103.0
2011-03-13,Malaysia,59.0
2011-03-14,Malaysia,333.0
2011-03-15,Malaysia,293.0
2011-03-16,Malaysia,164.0
2011-03-17,Malaysia,27.0
2011-03-18,Malaysia,80.0
2011-03-19,Malaysia,130.0
2011-03-20,Malaysia,80.0
2011-03-21,Malaysia,211.0
2011-03-22,Malaysia,183.0
2011-03-23,Malaysia,180.0
2011-03-24,Malaysia,204.0
2011-03-25,Malaysia,137.0
2011-03-26,Malaysia,27.0
2011-03-27,Malaysia,50.0
2011-03-28,Malaysia,151.0
2011-03-29,Malaysia,122.0
2011-03-30,Malaysia,208.0
2011-03-31,Malaysia,115.0
2011-04-01,Malaysia,69.0
2011-04-02,Malaysia,72.0
2011-04-03,Malaysia,17.0
2011-04-04,Malaysia,51.0
2011-04-05,Malaysia,93.0
2011-04-06,Malaysia,213.0
2011-04-07,Malaysia,140.0
2011-04-08,Malaysia,152.0
2011-04-09,Malaysia,73.0
2011-04-10,Malaysia,170.0
2011-04-11,Malaysia,172.0
2011-04-12,Malaysia,206.0
2011-04-13,Malaysia,153.0
2011-04-14,Malaysia,155.0
